#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Replicons,Scaffolds,Release Date
"Vibrio vulnificus","Bacteria;Proteobacteria;Gammaproteobacteria","FDAARGOS_663","SAMN11056378","PRJNA231221","GCA_008693685.1","Complete","chromosome 1:NZ_CP044068.1/CP044068.1; chromosome 2:NZ_CP044069.1/CP044069.1",2,"2019-09-25T00:00:00Z"
"Mycoplasma hyopneumoniae 168-L","Bacteria;Terrabacteria group;Tenericutes","168-L","SAMN02603324","PRJNA76853","GCA_000400855.1","Complete","chromosome:NC_021283.1/CP003131.1",1,"2013-05-22T00:00:00Z"
"Streptococcus suis SC84","Bacteria;Terrabacteria group;Firmicutes","SC84","SAMEA2272312","PRJEA32239","GCA_000026725.1","Complete","chromosome:NC_012924.1/FM252031.1",1,"2009-07-07T00:00:00Z"
"Chlorobium phaeobacteroides DSM 266","Bacteria;FCB group;Bacteroidetes/Chlorobi group","DSM 266","SAMN02598273","PRJNA12609","GCA_000015125.1","Complete","chromosome:NC_008639.1/CP000492.1",1,"2006-12-11T00:00:00Z"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","ab736","SAMN04621185","PRJNA317553","GCA_002116925.1","Complete","chromosome:NZ_CP015121.1/CP015121.1; plasmid unnamed:NZ_CP015122.1/CP015122.1",2,"2017-05-02T00:00:00Z"
"Anaplasma marginale str. Florida","Bacteria;Proteobacteria;Alphaproteobacteria","Florida","SAMN02604306","PRJNA16369","GCA_000020305.1","Complete","chromosome:NC_012026.1/CP001079.1",1,"2009-02-03T00:00:00Z"
"Bacillus licheniformis DSM 13 = ATCC 14580","Bacteria;Terrabacteria group;Firmicutes","ATCC 14580; DSM 13","SAMN02603685","PRJNA12388","GCA_000011645.1","Complete","chromosome:NC_006270.3/CP000002.3",1,"2004-09-14T00:00:00Z"
"Bacteroides fragilis","Bacteria;FCB group;Bacteroidetes/Chlorobi group","BE1","SAMEA3501569","PRJEB10044","GCA_001286525.1","Complete","chromosome scaffold1:NZ_LN877293.1/LN877293.1",1,"2015-08-25T00:00:00Z"
"Shigella dysenteriae","Bacteria;Proteobacteria;Gammaproteobacteria","HNCMB 20080","SAMN16094609","PRJNA662859","GCA_015475595.1","Complete","chromosome:NZ_CP061527.1/CP061527.1; plasmid pHNCMB20080_1:NZ_CP061528.1/CP061528.1; plasmid pHNCMB20080_2:NZ_CP061529.1/CP061529.1",3,"2020-11-13T00:00:00Z"
"Legionella pneumophila","Bacteria;Proteobacteria;Gammaproteobacteria","Philadelphia-1","SAMN03988484","PRJNA292755","GCA_001941585.1","Complete","chromosome:NZ_CP013742.1/CP013742.1",1,"2017-01-10T00:00:00Z"
"Streptococcus thermophilus JIM 8232","Bacteria;Terrabacteria group;Firmicutes","JIM 8232","SAMEA2272807","PRJEA68521","GCA_000253395.1","Complete","chromosome:NC_017581.1/FR875178.1",1,"2011-07-04T00:00:00Z"
"Synechococcus elongatus PCC 7942 = FACHB-805","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group","PCC 7942","SAMN02598254","PRJNA10645","GCA_000012525.1","Complete","chromosome:NC_007604.1/CP000100.1; plasmid 1:NC_007595.1/CP000101.1",2,"2005-11-08T00:00:00Z"
"Shewanella baltica OS678","Bacteria;Proteobacteria;Gammaproteobacteria","OS678","SAMN00016780","PRJNA47019","GCA_000178875.2","Complete","chromosome:NC_016901.1/CP002383.1; plasmid pSBAL67801:NC_016905.1/CP002384.1",2,"2010-12-21T00:00:00Z"
"Shewanella putrefaciens CN-32","Bacteria;Proteobacteria;Gammaproteobacteria","CN-32","SAMN00623063","PRJNA13393","GCA_000016585.1","Complete","chromosome:NC_009438.1/CP000681.1",1,"2007-04-20T00:00:00Z"
"Ehrlichia ruminantium","Bacteria;Proteobacteria;Alphaproteobacteria","Springbokfontein7","SAMN11584475","PRJNA493174","GCA_013460375.1","Complete","chromosome:NZ_CP040111.1/CP040111.1",1,"2020-07-22T00:00:00Z"
"Limosilactobacillus reuteri","Bacteria;Terrabacteria group;Firmicutes","TK-F8A","SAMN13106284","PRJNA579198","GCA_015377805.1","Complete","chromosome:NZ_CP045605.1/CP045605.1",1,"2020-11-12T00:00:00Z"
"Thermus thermophilus HB8","Bacteria;Terrabacteria group;Deinococcus-Thermus","HB8","SAMD00061070","PRJNA13202","GCA_000091545.1","Complete","chromosome 1:NC_006461.1/AP008226.1; plasmid pTT27:NC_006462.1/AP008227.1; plasmid pTT8:NC_006463.1/AP008228.1",3,"2004-11-15T23:04:00Z"
"Chlamydia trachomatis D/UW-3/CX","Bacteria;PVC group;Chlamydiae","D/UW-3/CX","SAMN02603114","PRJNA45","GCA_000008725.1","Complete","chromosome:NC_000117.1/AE001273.1",1,"1998-05-20T00:00:00Z"
"Mycoplasma genitalium G37","Bacteria;Terrabacteria group;Tenericutes","G-37","SAMN02603983","PRJNA97","GCA_000027325.1","Complete","chromosome:NC_000908.2/L43967.2",1,"1995-10-30T00:00:00Z"
"Burkholderia cenocepacia","Bacteria;Proteobacteria;Betaproteobacteria","MSMB384WGS","SAMN03449602","PRJNA279182","GCA_001718895.1","Complete","chromosome 1:NZ_CP013450.1/CP013450.1; chromosome 2:NZ_CP013452.1/CP013452.1; chromosome 3:NZ_CP013451.1/CP013451.1",3,"2016-09-02T00:00:00Z"
"Burkholderia pseudomallei","Bacteria;Proteobacteria;Betaproteobacteria","Mahidol-1106a","SAMN02866341","PRJNA244417","GCA_000756125.1","Complete","chromosome 1:NZ_CP008781.1/CP008781.1; chromosome 2:NZ_CP008782.1/CP008782.1",2,"2014-09-18T00:00:00Z"
"Burkholderia mallei","Bacteria;Proteobacteria;Betaproteobacteria","Turkey2","SAMN03121649","PRJNA264186","GCA_002346025.1","Complete","chromosome 1:NZ_CP009727.1/CP009727.1; chromosome 2:NZ_CP009728.1/CP009728.1",2,"2017-09-22T00:00:00Z"
"Corynebacterium jeikeium","Bacteria;Terrabacteria group;Actinobacteria","NCTC11914","SAMEA4017709","PRJEB6403","GCA_900477975.1","Complete","chromosome 1:NZ_LS483459.1/LS483459.1",1,"2018-06-17T00:00:00Z"
"Ehrlichia chaffeensis str. West Paces","Bacteria;Proteobacteria;Alphaproteobacteria","West Paces","SAMN02367293","PRJNA178990","GCA_000632965.1","Complete","chromosome:NZ_CP007480.1/CP007480.1",1,"2014-04-17T00:00:00Z"
"Nitrosococcus oceani ATCC 19707","Bacteria;Proteobacteria;Gammaproteobacteria","ATCC 19707","SAMN02598329","PRJNA13993","GCA_000012805.1","Complete","chromosome:NC_007484.1/CP000127.1; plasmid A:NC_007483.1/CP000126.1",2,"2005-10-04T00:00:00Z"
"Ralstonia solanacearum","Bacteria;Proteobacteria;Betaproteobacteria","IBSBF1503","SAMN04123299","PRJNA297402","GCA_001587155.1","Complete","chromosome:NZ_CP012943.1/CP012943.1; plasmid unnamed:NZ_CP012944.1/CP012944.1",2,"2016-03-11T00:00:00Z"
"Vibrio cholerae MS6","Bacteria;Proteobacteria;Gammaproteobacteria","MS6","SAMD00061025","PRJDB1528","GCA_000829215.1","Complete","chromosome 1:NZ_AP014524.1/AP014524.1; chromosome 2:NZ_AP014525.1/AP014525.1",2,"2014-06-17T00:00:00Z"
"Rhodopseudomonas palustris","Bacteria;Proteobacteria;Alphaproteobacteria","CGMCC 1.2180","SAMN15454726","PRJNA644217","GCA_013415845.1","Complete","chromosome:NZ_CP058907.1/CP058907.1",1,"2020-07-15T00:00:00Z"
"Rhodobacter sphaeroides ATCC 17029","Bacteria;Proteobacteria;Alphaproteobacteria","ATCC 17029","SAMN02598340","PRJNA15754","GCA_000015985.1","Complete","chromosome 1:NC_009049.1/CP000577.1; chromosome 2:NC_009050.1/CP000578.1; plasmid pRSPH01:NC_009040.1/CP000579.1",3,"2007-02-23T00:00:00Z"
"Yersinia pseudotuberculosis","Bacteria;Proteobacteria;Gammaproteobacteria","NCTC10275","SAMEA4442458","PRJEB6403","GCA_900637475.1","Complete","chromosome 1:NZ_LR134373.1/LR134373.1",1,"2018-12-19T00:00:00Z"
"Mycoplasma agalactiae PG2","Bacteria;Terrabacteria group;Tenericutes","PG2","SAMEA3138268","PRJNA16095","GCA_000063605.1","Complete","chromosome:NC_009497.1/CU179680.1",1,"2007-05-23T00:00:00Z"
"Lactobacillus delbrueckii subsp. delbrueckii","Bacteria;Terrabacteria group;Firmicutes","NBRC 3202","SAMD00093676","PRJDB5979","GCA_006740305.1","Complete","chromosome:NZ_AP019750.1/AP019750.1",1,"2019-06-14T23:12:00Z"
"Leptospira borgpetersenii serovar Ceylonica","Bacteria;Spirochaetes;Spirochaetia","Piyasena","SAMN08498447","PRJNA401006","GCA_003516145.1","Complete","chromosome 1:NZ_CP026671.1/CP026671.1; chromosome 2:NZ_CP026672.1/CP026672.1",2,"2018-09-10T00:00:00Z"
"Brucella abortus 2308","Bacteria;Proteobacteria;Alphaproteobacteria","2308","SAMEA3138256","PRJNA16203","GCA_000054005.1","Complete","chromosome I:NC_007618.1/AM040264.1; chromosome II:NC_007624.1/AM040265.1",2,"2005-11-22T00:00:00Z"
"Mycoplasma capricolum subsp. capricolum ATCC 27343","Bacteria;Terrabacteria group;Tenericutes","ATCC 27343","SAMN02603434","PRJNA16208","GCA_000012765.1","Complete","chromosome:NC_007633.1/CP000123.1",1,"2005-12-06T00:00:00Z"
"Bartonella bacilliformis KC583","Bacteria;Proteobacteria;Alphaproteobacteria","KC583; ATCC 35685","SAMN02604047","PRJNA16249","GCA_000015445.1","Complete","chromosome:NC_008783.1/CP000524.1",1,"2007-01-04T00:00:00Z"
"Xanthomonas citri","Bacteria;Proteobacteria;Gammaproteobacteria","UnB-Xtec2D","SAMN12628543","PRJNA561801","GCA_015243835.1","Complete","chromosome:NZ_CP048044.1/CP048044.1",1,"2020-11-05T00:00:00Z"
"Campylobacter fetus","Bacteria;Proteobacteria;delta/epsilon subdivisions","CFF00A031","SAMN13976978","PRJNA604600","GCA_011600945.2","Complete","chromosome:NZ_CP059443.1/CP059443.1; plasmid pCFF_00A031_P1:NZ_CP059444.1/CP059444.1",2,"2020-07-23T00:00:00Z"
"Xanthomonas oryzae pv. oryzicola","Bacteria;Proteobacteria;Gammaproteobacteria","YM15","SAMN02793996","PRJNA248159","GCA_001021915.1","Complete","chromosome:NZ_CP007810.1/CP007810.1",1,"2015-06-08T00:00:00Z"
"Salinispora tropica CNB-440","Bacteria;Terrabacteria group;Actinobacteria","CNB-440","SAMN02598367","PRJNA16342","GCA_000016425.1","Complete","chromosome:NC_009380.1/CP000667.1",1,"2007-04-17T00:00:00Z"
"Thermotoga neapolitana DSM 4359","Bacteria;Thermotogae;Thermotogae","DSM 4359","SAMN02603251","PRJNA21023","GCA_000018945.1","Complete","chromosome:NC_011978.1/CP000916.1",1,"2009-01-27T00:00:00Z"
"Clostridioides difficile","Bacteria;Terrabacteria group;Firmicutes","BR81","SAMN06286529","PRJNA369458","GCA_002007885.1","Complete","chromosome:NZ_CP019870.1/CP019870.1",1,"2017-02-28T00:00:00Z"
"Roseobacter denitrificans","Bacteria;Proteobacteria;Alphaproteobacteria","FDAARGOS_309","SAMN06173322","PRJNA231221","GCA_002983865.1","Complete","chromosome:NZ_CP027407.1/CP027407.1; plasmid unnamed1:NZ_CP027406.1/CP027406.1; plasmid unnamed2:NZ_CP027408.1/CP027408.1",3,"2018-03-09T00:00:00Z"
"Desulfitobacterium hafniense DCB-2","Bacteria;Terrabacteria group;Firmicutes","DCB-2","SAMN02598433","PRJNA205","GCA_000021925.1","Complete","chromosome:NC_011830.1/CP001336.1",1,"2009-01-05T00:00:00Z"
"Aeromonas salmonicida","Bacteria;Proteobacteria;Gammaproteobacteria","SRW-OG1","SAMN14515089","PRJNA622411","GCA_012931585.1","Complete","chromosome:NZ_CP051883.1/CP051883.1",1,"2020-04-29T00:00:00Z"
"Oenococcus oeni","Bacteria;Terrabacteria group;Firmicutes","UBOCC-A-315001","SAMN04487212","PRJNA311683","GCA_002966535.1","Complete","chromosome:NZ_CP014324.1/CP014324.1",1,"2018-03-02T00:00:00Z"
"Coxiella burnetii RSA 493","Bacteria;Proteobacteria;Gammaproteobacteria","RSA 493","SAMN02603970","PRJNA41","GCA_000007765.2","Complete","chromosome:NC_002971.4/AE016828.3; plasmid pQpH1:NC_004704.2/AE016829.2",2,"2001-08-28T00:00:00Z"
"Lactobacillus casei DSM 20011 = JCM 1134 = ATCC 393","Bacteria;Terrabacteria group;Firmicutes","ATCC 393","SAMD00061035","PRJDB480","GCA_000829055.1","Complete","chromosome:NZ_AP012544.1/AP012544.1; plasmid pLBCZ-1:NZ_AP012545.1/AP012545.1; plasmid pLBCZ-2:NZ_AP012546.1/AP012546.1",3,"2013-08-14T23:06:00Z"
"Salinispora arenicola CNS-205","Bacteria;Terrabacteria group;Actinobacteria","CNS-205","SAMN02598378","PRJNA17109","GCA_000018265.1","Complete","chromosome:NC_009953.1/CP000850.1",1,"2007-10-05T00:00:00Z"
"Desulfovibrio vulgaris RCH1","Bacteria;Proteobacteria;delta/epsilon subdivisions","RCH1","SAMN00002688","PRJNA32603","GCA_000166115.1","Complete","chromosome:NC_017310.1/CP002297.1; plasmid pDEVAL01:NC_017311.1/CP002298.1",2,"2010-11-05T00:00:00Z"
"Rickettsia bellii RML369-C","Bacteria;Proteobacteria;Alphaproteobacteria","RML369-C","SAMN02603144","PRJNA13996","GCA_000012385.1","Complete","chromosome:NC_007940.1/CP000087.1",1,"2006-04-05T00:00:00Z"
"Bacillus subtilis subsp. subtilis str. 168","Bacteria;Terrabacteria group;Firmicutes","168","SAMEA3138188","PRJNA76","GCA_000009045.1","Complete","chromosome:NC_000964.3/AL009126.3",1,"1997-11-20T00:00:00Z"
"Lactobacillus helveticus","Bacteria;Terrabacteria group;Firmicutes","FAM8627","SAMN04892856","PRJNA319465","GCA_002849915.1","Complete","chromosome:NZ_CP015444.1/CP015444.1; plasmid pFAM8627:NZ_CP015445.1/CP015445.1",2,"2018-01-03T00:00:00Z"
"Rickettsia rickettsii str. Iowa","Bacteria;Proteobacteria;Alphaproteobacteria","Iowa","SAMN02603768","PRJNA19943","GCA_000017445.3","Complete","chromosome:NC_010263.3/CP000766.3",1,"2008-01-17T00:00:00Z"
"Faecalibacterium prausnitzii","Bacteria;Terrabacteria group;Firmicutes","APC918/95b","SAMN08494074","PRJNA432550","GCA_003312465.1","Complete","chromosome:NZ_CP030777.1/CP030777.1",1,"2018-07-11T00:00:00Z"
"Bifidobacterium adolescentis","Bacteria;Terrabacteria group;Actinobacteria","1-11","SAMN08770276","PRJNA445212","GCA_003030905.1","Complete","chromosome:NZ_CP028341.1/CP028341.1",1,"2018-04-03T00:00:00Z"
"Vibrio harveyi","Bacteria;Proteobacteria;Gammaproteobacteria","ATCC 33843 (392 [MAV])","SAMN03075601","PRJNA260398","GCA_000770115.2","Complete","chromosome 1:NZ_CP009467.1/CP009467.2; chromosome 2:NZ_CP009468.1/CP009468.1",2,"2014-10-31T00:00:00Z"
"Saccharopolyspora erythraea NRRL 2338","Bacteria;Terrabacteria group;Actinobacteria","NRRL 2338","SAMEA2272514","PRJEA18489","GCA_000062885.1","Complete","chromosome:NC_009142.1/AM420293.1",1,"2007-03-21T00:00:00Z"
"Thermoanaerobacter ethanolicus JW 200","Bacteria;Terrabacteria group;Firmicutes","JW 200","SAMN10298210","PRJNA498490","GCA_003722315.1","Complete","chromosome:NZ_CP033580.1/CP033580.1",1,"2018-11-13T00:00:00Z"
"Vibrio parahaemolyticus","Bacteria;Proteobacteria;Gammaproteobacteria","VPD14","SAMN09874427","PRJNA487159","GCA_004006515.1","Complete","chromosome 1:NZ_CP031781.1/CP031781.1; chromosome 2:NZ_CP031782.1/CP031782.1",2,"2019-01-09T00:00:00Z"
"Methylorubrum extorquens PA1","Bacteria;Proteobacteria;Alphaproteobacteria","PA1","SAMN00000030","PRJNA18637","GCA_000018845.1","Complete","chromosome:NC_010172.1/CP000908.1",1,"2007-12-20T00:00:00Z"
"Lactococcus garvieae","Bacteria;Terrabacteria group;Firmicutes","FDAARGOS_929","SAMN13450459","PRJNA231221","GCA_016026695.1","Complete","chromosome:NZ_CP065637.1/CP065637.1; plasmid unnamed:NZ_CP065636.1/CP065636.1",2,"2020-12-14T00:00:00Z"
"Methylobacterium radiotolerans JCM 2831","Bacteria;Proteobacteria;Alphaproteobacteria","JCM 2831","SAMN00000277","PRJNA18817","GCA_000019725.1","Complete","chromosome:NC_010505.1/CP001001.1; plasmid pMRAD01:NC_010510.1/CP001002.1; plasmid pMRAD02:NC_010509.1/CP001003.1; plasmid pMRAD03:NC_010514.1/CP001004.1; plasmid pMRAD04:NC_010517.1/CP001005.1; plasmid pMRAD05:NC_010518.1/CP001006.1; plasmid pMRAD06:NC_010502.1/CP001007.1; plasmid pMRAD07:NC_010504.1/CP001008.1; plasmid pMRAD08:NC_010507.1/CP001009.1",9,"2008-03-21T00:00:00Z"
"Orientia tsutsugamushi","Bacteria;Proteobacteria;Alphaproteobacteria","Karp","SAMEA104570320","PRJEB24834","GCA_900327275.1","Complete","chromosome I:NZ_LS398548.1/LS398548.1",1,"2018-05-12T00:00:00Z"
"Clostridium kluyveri NBRC 12016","Bacteria;Terrabacteria group;Firmicutes","NBRC 12016","SAMD00060959","PRJDA33271","GCA_000010265.1","Complete","chromosome:NC_011837.1/AP009049.1; plasmid pCKL1:NC_011836.1/AP009050.1",2,"2009-01-06T00:00:00Z"
"Porphyromonas gingivalis ATCC 33277","Bacteria;FCB group;Bacteroidetes/Chlorobi group","ATCC 33277","SAMD00060922","PRJDA19051","GCA_000010505.1","Complete","chromosome:NC_010729.1/AP009380.1",1,"2008-05-20T23:06:00Z"
"Gramella forsetii KT0803","Bacteria;FCB group;Bacteroidetes/Chlorobi group","KT0803","SAMEA2272667","PRJEA19061","GCA_000060345.1","Complete","chromosome:NC_008571.1/CU207366.1",1,"2006-11-06T00:00:00Z"
"Ureaplasma parvum serovar 3 str. ATCC 27815","Bacteria;Terrabacteria group;Tenericutes","ATCC 27815","SAMN02604063","PRJNA19087","GCA_000019345.1","Complete","chromosome:NC_010503.1/CP000942.1",1,"2008-02-26T00:00:00Z"
"Ureaplasma urealyticum serovar 10 str. ATCC 33699","Bacteria;Terrabacteria group;Tenericutes","ATCC 33699","SAMN02603440","PRJNA20247","GCA_000021265.1","Complete","chromosome:NC_011374.1/CP001184.1",1,"2008-10-16T00:00:00Z"
"Mycoplasma mycoides subsp. capri str. GM12","Bacteria;Terrabacteria group;Tenericutes","GM12","SAMN02603459","PRJNA39245","GCA_000023685.1","Complete","chromosome:NZ_CP001668.1/CP001668.1",1,"2009-08-21T00:00:00Z"
"Burkholderia thailandensis E264","Bacteria;Proteobacteria;Betaproteobacteria","E264; ATCC 700388","SAMN02604021","PRJNA10774","GCA_000012365.1","Complete","chromosome I:NC_007651.1/CP000086.1; chromosome II:NC_007650.1/CP000085.1",2,"2005-12-15T00:00:00Z"
